53,20D0,0010000011010000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
54,20D4,0010000011010100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
55,20D8,0010000011011000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
56,20DC,0010000011011100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
57,20E0,0010000011100000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
58,20E4,0010000011100100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
59,20E8,0010000011101000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
60,20EC,0010000011101100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
61,20F0,0010000011110000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
62,20F4,0010000011110100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
63,20F8,0010000011111000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
64,20FC,0010000011111100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
65,2100,0010000100000000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
66,2104,0010000100000100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
67,2108,0010000100001000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
68,210C,0010000100001100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
69,2110,0010000100010000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
70,2114,0010000100010100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
71,2118,0010000100011000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
72,211C,0010000100011100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
73,2120,0010000100100000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
74,2124,0010000100100100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
75,2128,0010000100101000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
76,212C,0010000100101100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
77,2130,0010000100110000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
78,2134,0010000100110100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
79,2138,0010000100111000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
80,213C,0010000100111100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
81,2140,0010000101000000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
82,2144,0010000101000100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
83,2148,0010000101001000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
84,214C,0010000101001100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
85,2150,0010000101010000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
