1,DSLLV,000000,RS,RT,RD,00000,010100
2,DMULT,000000,RS,RT,00000,00000,011100
3,OR,000000,RS,RT,RD,00000,100101
4,SLT,000000,RS,RT,RD,00000,101010
5,DADDU,000000,RS,RT,RD,00000,101101
